"country_code","series_code","year","value"
AUT,IT.NET.USER.P2,"2013",80.6188
AUT,IT.NET.USER.P2,"2014",80.99582496
AUT,IT.NET.USER.P2,"2015",83.94014193
AZE,EG.USE.COMM.GD.PP.KD,"2006",145.6019239
AZE,EG.USE.COMM.GD.PP.KD,"2007",106.5872274
AZE,EG.USE.COMM.GD.PP.KD,"2008",105.8346348
AZE,EG.USE.COMM.GD.PP.KD,"2009",86.66853493
AZE,EG.USE.COMM.GD.PP.KD,"2010",80.22143828
AZE,EG.USE.COMM.GD.PP.KD,"2011",86.9200048
AZE,EG.USE.COMM.GD.PP.KD,"2012",92.70375012
AZE,EG.USE.COMM.GD.PP.KD,"2013",88.83183661
AZE,EG.USE.COMM.GD.PP.KD,"2014",89.86351695
AZE,EG.USE.COMM.GD.PP.KD,"2015",NA
AZE,IT.NET.USER.P2,"2006",11.99217733
AZE,IT.NET.USER.P2,"2007",14.54
AZE,IT.NET.USER.P2,"2008",17.08
AZE,IT.NET.USER.P2,"2009",27.4
AZE,IT.NET.USER.P2,"2010",46.0
AZE,IT.NET.USER.P2,"2011",50.0
AZE,IT.NET.USER.P2,"2012",54.2
AZE,IT.NET.USER.P2,"2013",73.00000137
AZE,IT.NET.USER.P2,"2014",75.00001564
AZE,IT.NET.USER.P2,"2015",77.0
BDI,EG.USE.COMM.GD.PP.KD,"2006",NA
BDI,EG.USE.COMM.GD.PP.KD,"2007",NA
BDI,EG.USE.COMM.GD.PP.KD,"2008",NA
BDI,EG.USE.COMM.GD.PP.KD,"2009",NA
BDI,EG.USE.COMM.GD.PP.KD,"2010",NA
BDI,EG.USE.COMM.GD.PP.KD,"2011",NA
BDI,EG.USE.COMM.GD.PP.KD,"2012",NA
BDI,EG.USE.COMM.GD.PP.KD,"2013",NA
BDI,EG.USE.COMM.GD.PP.KD,"2014",NA
BDI,EG.USE.COMM.GD.PP.KD,"2015",NA
BDI,IT.NET.USER.P2,"2006",0.65759259
BDI,IT.NET.USER.P2,"2007",0.7
BDI,IT.NET.USER.P2,"2008",0.81
BDI,IT.NET.USER.P2,"2009",0.9
BDI,IT.NET.USER.P2,"2010",1.0
BDI,IT.NET.USER.P2,"2011",1.11
BDI,IT.NET.USER.P2,"2012",1.219999945
BDI,IT.NET.USER.P2,"2013",1.264218111
BDI,IT.NET.USER.P2,"2014",1.38
BDI,IT.NET.USER.P2,"2015",4.866224464
BEL,EG.USE.COMM.GD.PP.KD,"2006",134.9663222
